Gene	mock1	mock2	mock3	hrcc1	hrcc2	hrcc3
AT1G03870	39	48	55	11	5	36
AT1G03880	0	6	0	0	5	0
AT1G03890	0	3	0	1	4	0
AT1G03900	150	107	225	178	84	367
AT1G03905	0	0	5	3	2	8
AT1G03910	94	66	98	112	57	104
AT1G03920	3	89	3	3	25	2
AT1G03930	45	44	58	45	18	71
AT1G03935	0	0	0	3	0	0
AT1G03940	0	3	7	5	3	7
AT1G03950	41	33	60	48	32	65
AT1G03960	30	13	33	17	15	28
AT1G03970	28	24	74	20	23	84
AT1G03980	3	25	2	4	9	1
AT1G03990	4	0	7	4	7	8
AT1G04000	41	78	31	62	32	37
AT1G04010	16	22	23	12	20	32
AT1G04020	0	4	1	0	0	2
AT1G04030	0	16	7	2	8	2
AT1G04040	25	33	37	11	1	26
AT1G04050	0	0	3	0	9	1
AT1G04070	1	3	28	29	14	27
AT1G04080	75	89	228	125	39	239
AT1G04100	2	1	10	15	10	6
AT1G04110	0	4	0	2	0	1
AT1G04120	98	76	169	183	138	308
AT1G04130	4	14	46	12	12	24
AT1G04140	57	94	238	129	43	440
AT1G04150	0	0	0	0	0	1
AT1G04160	0	4	6	9	0	23
AT1G04170	106	77	223	92	85	242
AT1G04180	0	3	0	0	1	0
AT1G04190	21	21	44	18	14	35
AT1G04200	21	25	52	32	28	64
AT1G04210	18	25	60	63	35	80
AT1G04220	151	213	216	168	137	108
AT1G04230	14	15	17	28	9	17
AT1G04240	21	33	37	16	5	11
AT1G04250	18	18	18	8	5	5
AT1G04260	53	41	169	69	61	223
AT1G04270	203	225	546	275	188	507
AT1G04280	32	24	22	47	9	34
AT1G04290	26	39	31	19	31	32
AT1G04295	0	0	0	0	1	0
AT1G04300	109	163	386	168	139	471
AT1G04310	13	6	5	8	0	9
AT1G04330	0	2	0	0	0	1
AT1G04340	58	38	297	72	53	478
AT1G04350	81	96	182	82	37	97
AT1G04360	0	2	0	4	4	4
AT1G04370	0	9	1	0	1	0
AT1G04380	0	0	0	0	0	1
AT1G04390	8	17	12	6	13	11
AT1G04400	284	204	345	227	182	387
AT1G04410	656	663	1473	787	357	1582
AT1G04420	110	56	134	59	22	86
AT1G04430	138	123	192	65	89	149
AT1G04440	125	118	147	155	114	200
AT1G04445	0	6	1	0	0	2
AT1G04457	1	0	0	0	0	0
AT1G04470	0	6	0	0	0	0
AT1G04480	71	73	147	134	99	251
AT1G04490	0	0	0	1	0	2
AT1G04500	0	0	4	3	4	10
AT1G04510	62	85	215	99	74	293
AT1G04520	0	7	6	5	3	5
AT1G04530	158	156	129	130	84	199
AT1G04540	0	0	7	0	0	2
AT1G04550	15	8	35	15	0	32
AT1G04555	25	27	32	11	8	46
AT1G04570	10	4	22	5	11	16
AT1G04580	0	7	1	4	1	4
AT1G04590	22	34	41	22	32	23
AT1G04600	0	0	0	0	0	3
AT1G04610	3	39	0	5	17	2
AT1G04620	85	85	189	66	37	178
AT1G04625	0	0	0	5	0	0
AT1G04630	27	67	48	21	15	42
AT1G04635	3	3	6	0	1	2
AT1G04640	77	67	247	58	29	175
AT1G04650	1	0	1	0	2	3
AT1G04660	0	58	8	1	12	3
AT1G04680	87	101	190	115	60	181
AT1G04690	195	151	149	209	133	226
AT1G04700	4	33	1	4	11	4
AT1G04710	7	18	48	23	14	32
AT1G04730	0	0	1	0	0	1
AT1G04750	77	117	200	113	70	256
AT1G04760	0	0	3	0	3	0
AT1G04770	44	45	61	14	36	46
AT1G04780	105	88	123	124	93	184
AT1G04790	13	31	45	29	19	45
AT1G04800	341	303	216	215	77	260
AT1G04810	75	78	242	128	49	368
AT1G04820	227	193	654	288	105	886
AT1G04830	31	20	59	37	12	75
AT1G04840	0	4	2	3	1	1
AT1G04850	176	104	207	213	60	229
AT1G04860	27	42	61	69	39	73
AT1G04870	19	15	45	41	23	56
AT1G04880	0	8	0	0	11	0
AT1G04890	0	0	1	0	0	0
AT1G04900	2	6	69	18	9	89
AT1G04910	27	26	87	93	53	131
AT1G04920	0	5	2	0	6	2
AT1G04930	12	4	13	9	5	25
AT1G04940	64	43	176	49	34	117
AT1G04945	6	1	21	13	3	19
AT1G04950	26	25	45	21	10	42
AT1G04960	73	54	67	71	48	72
AT1G04970	32	38	112	56	26	94
AT1G04980	71	64	136	288	90	259
AT1G04985	45	75	99	102	59	104
AT1G04990	67	160	253	141	166	265
AT1G05000	8	7	12	16	26	25
AT1G05010	308	157	419	1523	387	1433
AT1G05020	1	9	4	9	4	3
AT1G05030	38	30	90	36	27	89
AT1G05055	19	17	59	24	10	73
AT1G05060	26	26	67	36	23	53
AT1G05065	0	0	6	5	3	1
AT1G05070	44	28	97	28	16	53
AT1G05080	0	0	0	0	1	1
AT1G05090	0	3	1	0	0	0
AT1G05100	11	11	7	13	6	11
AT1G05120	22	18	51	31	19	67
AT1G05135	3033	4013	916	4873	1312	2863
AT1G05136	0	0	0	0	0	1
AT1G05140	215	243	269	168	150	141
AT1G05150	40	27	16	21	7	24
AT1G05160	5	13	14	5	1	11
AT1G05170	9	9	31	32	10	29
AT1G05180	37	56	89	69	14	131
AT1G05190	840	689	2126	683	282	1234
AT1G05200	55	68	99	64	28	98
AT1G05205	30	18	56	26	10	42
AT1G05210	13	2	11	4	11	5
AT1G05220	0	2	1	0	0	0
AT1G05230	8	4	39	23	9	22
AT1G05260	0	1	0	0	3	0
AT1G05270	62	56	115	73	39	172
AT1G05280	0	0	0	0	5	0
AT1G05290	0	1	0	0	0	1
AT1G05291	0	2	0	0	0	0
AT1G05300	34	17	74	265	124	521
AT1G05310	1	17	3	0	1	4
AT1G05320	4	19	13	27	15	19
AT1G05340	128	82	38	150	204	68
AT1G05350	50	40	64	78	47	152
AT1G05360	7	12	16	24	12	13
AT1G05370	4	16	2	1	17	0
AT1G05380	11	42	53	43	28	113
AT1G05385	23	27	81	11	11	41
AT1G05400	0	19	2	0	12	2
AT1G05410	17	22	20	18	10	13
AT1G05420	12	21	12	11	5	14
AT1G05430	31	40	52	18	30	48
AT1G05440	0	5	0	0	8	0
AT1G05450	0	3	0	0	0	1
AT1G05460	22	32	40	16	17	25
AT1G05470	3	25	12	2	9	6
AT1G05490	0	10	4	2	2	1
AT1G05500	89	32	71	55	46	81
AT1G05510	0	0	1	0	0	0
AT1G05520	43	43	144	65	44	207
AT1G05530	4	0	0	0	12	1
AT1G05540	3	4	9	0	6	2
AT1G05550	0	3	3	2	3	1
AT1G05560	578	494	299	302	107	177
AT1G05570	38	28	116	61	35	114
AT1G05575	12	0	2	10	6	8
AT1G05580	0	0	0	0	0	1
AT1G05590	27	38	74	34	19	53
AT1G05600	10	0	8	5	3	1
AT1G05610	0	16	0	1	6	0
AT1G05620	10	102	19	53	33	13
AT1G05630	15	14	33	31	15	35
AT1G05640	1	8	4	1	3	6
AT1G05660	0	2	0	0	0	0
AT1G05670	6	20	7	13	37	26
AT1G05680	64	227	35	72	243	51
AT1G05690	4	15	12	5	3	7
AT1G05700	0	0	0	10	5	11
AT1G05710	16	7	32	17	30	46
AT1G05720	26	19	18	38	5	27
AT1G05730	1	2	9	0	5	8
AT1G05750	7	9	14	4	3	11
AT1G05760	0	0	1	0	2	0
AT1G05770	0	1	3	6	2	6
AT1G05780	14	11	14	8	9	17
AT1G05785	6	2	5	19	7	8
AT1G05790	31	31	16	24	14	37
AT1G05800	0	6	2	0	4	0
AT1G05805	56	48	203	95	65	254
AT1G05810	2	8	9	0	0	5
AT1G05820	2	13	0	1	1	1
AT1G05830	25	23	98	66	59	113
AT1G05835	0	8	2	4	3	1
AT1G05840	39	19	47	38	21	75
AT1G05850	637	562	1666	512	246	1238
AT1G05860	2	27	34	8	13	35
AT1G05870	8	28	8	10	6	11
AT1G05880	1	1	4	0	7	5
AT1G05890	37	50	82	84	40	102
AT1G05894	0	0	0	0	8	0
AT1G05900	12	26	65	19	17	33
AT1G05910	31	25	80	45	26	142
AT1G05920	0	6	0	3	8	0
AT1G05925	0	0	0	0	2	0
AT1G05930	0	1	0	0	0	0
AT1G05940	86	71	124	59	43	124
AT1G05950	0	0	4	3	2	1
AT1G05960	63	44	117	74	40	96
AT1G05970	2	16	2	2	2	1
AT1G05990	0	18	0	0	27	0
AT1G06000	40	91	496	150	76	581
AT1G06010	16	27	46	22	3	46
AT1G06020	0	0	0	2	2	3
AT1G06030	0	0	2	0	0	0
AT1G06040	690	707	1035	589	432	826
AT1G06050	5	6	9	10	1	12
AT1G06060	45	41	126	40	14	142
AT1G06070	10	17	40	20	20	53
AT1G06080	0	2	0	2	5	0
AT1G06090	0	0	1	4	0	0
AT1G06100	0	7	0	0	11	0
AT1G06110	24	12	56	36	5	51
AT1G06130	21	42	38	38	22	37
AT1G06135	0	4	0	3	13	0
AT1G06140	0	0	5	2	2	3
AT1G06145	8	2	11	12	5	6
AT1G06148	0	35	8	8	100	2
AT1G06160	11	9	43	56	36	75
AT1G06170	0	0	0	0	0	1
AT1G06180	9	3	1	18	6	6
AT1G06190	123	180	346	139	74	275
AT1G06200	87	101	145	81	37	156
AT1G06210	54	28	57	105	31	86
AT1G06220	33	43	95	57	36	138
AT1G06225	0	2	0	0	3	0
AT1G06230	198	147	107	247	86	203
AT1G06240	52	42	159	31	35	86
AT1G06250	0	4	3	0	2	1
AT1G06260	0	0	1	0	0	0
AT1G06265	4	4	1	3	1	2
AT1G06270	1	20	18	6	18	23
AT1G06280	0	7	0	1	16	0
AT1G06290	57	61	135	103	66	194
AT1G06320	0	2	0	0	0	0
AT1G06340	0	64	0	5	32	1
AT1G06350	0	0	0	0	0	1
AT1G06360	2	0	7	1	1	1
AT1G06370	1	8	5	0	3	6
AT1G06380	10	15	11	12	8	19
AT1G06390	53	171	102	66	136	145
AT1G06400	71	96	107	106	65	107
AT1G06410	574	554	241	508	249	285
AT1G06420	2	0	0	2	3	1
AT1G06430	205	171	243	94	74	197
AT1G06440	0	2	6	2	5	5
AT1G06450	17	18	14	22	28	13
AT1G06460	1135	961	3742	1165	693	2484
AT1G06470	38	48	92	53	54	88
AT1G06475	7	15	8	10	2	3
AT1G06490	7	20	4	2	7	8
AT1G06500	21	25	24	19	4	19
AT1G06510	11	14	60	25	10	39
AT1G06515	12	18	51	18	19	42
AT1G06520	8	24	13	35	20	55
AT1G06530	302	464	291	447	107	416
AT1G06550	4	33	43	25	7	65
AT1G06560	4	21	17	5	4	13
AT1G06570	87	58	104	91	74	198
AT1G06580	2	8	3	4	1	4
AT1G06590	6	1	8	6	4	15
AT1G06620	45	22	183	315	112	1772
AT1G06630	8	16	24	14	10	21
AT1G06640	132	71	267	129	64	304
AT1G06645	11	15	61	27	11	53
AT1G06650	172	101	654	223	151	753
AT1G06660	0	0	3	0	3	0
AT1G06670	35	25	89	48	22	67
AT1G06680	5907	4885	20519	3769	1565	12812
AT1G06690	67	84	119	36	38	79
AT1G06700	49	82	118	73	50	103
AT1G06710	0	7	9	0	1	9
AT1G06720	25	26	113	31	19	139
AT1G06730	30	34	51	18	10	47
AT1G06740	2	0	4	3	3	2
AT1G06750	7	0	0	4	1	1
AT1G06760	362	301	475	251	172	532
AT1G06770	2	13	10	2	12	12
AT1G06780	28	36	15	39	43	49
AT1G06790	8	4	15	8	6	9
AT1G06800	0	16	15	20	4	50
AT1G06820	23	39	68	50	33	71
AT1G06830	3	17	21	4	20	25
AT1G06840	7	6	19	28	34	25
AT1G06850	18	120	18	42	62	38
AT1G06870	37	31	42	38	43	40
AT1G06890	82	105	183	121	113	241
AT1G06900	46	43	82	65	42	91
AT1G06910	0	9	7	6	5	6
AT1G06920	0	0	0	4	0	0
AT1G06923	0	11	0	2	3	0
AT1G06930	0	21	1	0	2	2
AT1G06950	62	123	269	106	62	312
AT1G06960	13	18	37	10	9	44
AT1G06970	0	0	0	0	2	1
AT1G06980	1	15	3	11	17	1
AT1G07000	94	24	107	98	54	242
AT1G07010	43	75	247	26	10	139
AT1G07020	26	20	66	58	36	103
AT1G07030	79	39	238	80	55	262
AT1G07040	226	195	274	276	212	280
AT1G07050	258	375	203	309	160	153
AT1G07060	0	0	0	0	0	1
AT1G07070	19	10	19	11	14	13
AT1G07080	228	262	715	280	208	547
AT1G07090	7	64	17	49	38	19
AT1G07110	222	169	504	160	55	275
AT1G07119	0	0	5	0	2	8
AT1G07120	0	3	0	6	0	2
AT1G07130	18	14	32	44	29	57
AT1G07135	381	157	206	240	250	567
AT1G07140	374	340	647	609	345	883
AT1G07150	0	16	8	10	5	20
AT1G07160	0	5	4	19	138	79
AT1G07170	11	14	13	15	7	7
AT1G07175	0	2	1	3	11	21
AT1G07180	100	31	57	42	12	42
AT1G07200	24	7	22	15	21	19
AT1G07210	48	49	108	55	29	146
AT1G07220	32	39	128	55	66	139
AT1G07230	78	52	101	149	147	252
AT1G07240	56	31	120	87	39	148
AT1G07250	186	180	265	169	78	232
AT1G07260	2	1	3	7	1	8
AT1G07280	266	280	657	282	161	468
AT1G07290	0	0	3	0	0	2
AT1G07300	0	0	6	4	5	5
AT1G07310	355	328	866	346	163	980
AT1G07320	538	537	2355	512	248	1090
AT1G07340	0	2	0	1	1	0
AT1G07350	50	40	46	65	23	81
AT1G07360	157	166	257	149	89	339
AT1G07370	0	0	6	2	3	4
AT1G07380	11	2	13	14	7	17
AT1G07390	29	24	18	28	14	30
AT1G07400	60	38	13	73	43	43
AT1G07410	2	1	1	3	2	2
AT1G07420	98	139	298	140	69	265
AT1G07430	35	66	31	36	35	31
AT1G07440	58	78	42	43	8	19
AT1G07450	0	1	0	0	12	0
AT1G07470	24	22	37	31	5	37
AT1G07473	0	0	1	0	8	0
AT1G07476	0	3	1	0	0	0
AT1G07480	44	16	17	12	7	32
AT1G07485	0	3	0	0	1	0
AT1G07500	0	5	0	0	2	1
AT1G07510	48	44	66	50	13	88
AT1G07520	25	11	11	21	15	13
AT1G07530	69	63	103	90	57	122
AT1G07540	0	2	0	0	0	0
AT1G07560	0	8	2	2	11	1
AT1G07570	17	14	23	44	16	38
AT1G07590	2302	2216	3085	1772	1329	3017
AT1G07610	72	64	23	42	38	44
AT1G07615	8	11	13	11	3	13
AT1G07620	6	0	15	21	20	38
AT1G07630	31	41	74	101	49	131
AT1G07640	143	140	438	311	262	467
AT1G07645	0	0	0	0	0	1
AT1G07650	77	96	115	137	65	120
AT1G07660	12	28	14	21	10	12
AT1G07670	54	48	78	147	63	181
AT1G07700	79	65	119	126	67	135
AT1G07705	33	35	52	49	49	103
AT1G07710	0	0	3	0	0	0
AT1G07720	165	178	180	100	31	81
AT1G07725	0	0	1	0	0	0
AT1G07728	0	6	1	2	0	0
AT1G07740	3	2	9	4	3	5
AT1G07745	3	12	15	6	17	11
AT1G07750	24	24	33	14	7	35
AT1G07770	111	147	240	152	107	235
AT1G07780	1	3	4	2	0	2
AT1G07790	4	20	17	9	10	7
AT1G07795	0	2	0	0	0	1
AT1G07800	0	5	2	0	1	0
AT1G07810	24	4	33	28	23	38
AT1G07820	38	67	35	23	53	59
AT1G07830	8	2	17	25	5	31
AT1G07840	12	30	68	38	17	64
AT1G07850	0	1	0	5	3	1
AT1G07860	0	0	1	0	2	0
AT1G07870	11	27	25	43	26	39
AT1G07880	0	2	4	0	0	5
AT1G07890	1001	907	2534	1781	1288	4204
AT1G07900	0	5	12	5	3	13
AT1G07901	3	3	12	4	0	5
AT1G07910	28	8	36	11	23	30
AT1G07920	5	2	29	29	16	24
AT1G07930	72	89	117	90	45	130
AT1G07940	77	108	80	80	54	97
AT1G07950	6	10	29	14	7	41
AT1G07960	31	18	43	59	48	62
AT1G07970	9	12	19	24	13	37
AT1G07980	21	26	33	24	28	58
AT1G07985	0	7	0	0	0	0
AT1G07990	190	160	103	164	61	134
AT1G08000	35	47	44	42	16	58
AT1G08005	0	0	1	0	0	1
AT1G08010	36	54	47	46	24	54
AT1G08030	30	38	88	44	42	77
AT1G08032	0	0	0	0	2	0
AT1G08035	0	1	0	0	0	0
AT1G08040	56	39	75	35	25	49
AT1G08050	67	43	220	166	79	698
AT1G08060	20	21	46	19	18	64
AT1G08065	0	1	0	0	3	0
AT1G08070	0	4	4	2	3	5
AT1G08080	0	13	1	0	18	0
AT1G08090	8	13	27	56	37	193
AT1G08100	0	0	0	0	2	0
AT1G08105	0	1	1	4	3	0
AT1G08110	78	70	157	62	38	93
AT1G08115	16	18	3	9	1	4
AT1G08125	33	39	54	54	15	78
AT1G08130	13	13	34	34	27	41
AT1G08135	0	22	0	0	21	0
AT1G08150	0	4	1	2	10	0
AT1G08160	43	31	54	21	30	75
AT1G08165	1	1	2	0	0	0
AT1G08170	0	12	0	0	0	2
AT1G08180	4	25	19	10	7	5
AT1G08190	283	202	227	174	92	209
AT1G08200	212	160	501	239	113	415
AT1G08210	7	14	8	9	2	13
AT1G08220	1	2	106	12	7	95
AT1G08250	34	11	34	25	12	82
AT1G08260	0	7	1	4	2	1
AT1G08270	0	0	5	1	7	0
AT1G08280	2	6	6	4	3	3
AT1G08290	9	33	4	14	1	12
AT1G08300	2	0	8	2	8	13
AT1G08310	0	0	0	0	0	1
