idRefSeq	N8	T8	N33	T33	N51	T51
NM_005244	208	0	143	7	125	51
NM_001018100	273	8	735	36	490	36
NM_007351	200	9	74	2	483	36
NM_001122951	512	5	84	20	938	41
NM_003970	219	0	295	30	1168	90
NM_003282	361	1	770	44	1548	139
NM_152380	242	0	184	10	1204	207
NM_001114974	264	13	132	7	1107	62
NM_182493	330	12	204	2	287	22
NM_000334	491	1	228	16	1614	128
NM_024025	84	0	122	0	454	51
NM_172110	195	0	128	7	124	50
NM_198501	239	13	126	7	1048	58
NM_153610	6518	77	4615	166	29197	5087
NM_032735	157	4	102	2	1572	126
NM_079422	1317	15	2514	12	3854	479
NM_024875	431	1	823	53	2533	306
NM_007356	491	5	1304	129	291	13
NM_001114133	504	1	944	62	2963	381
NM_000615	174	1	177	11	1273	187
NM_181351	174	1	177	11	1273	187
NM_020297	462	51	383	24	2927	238
NM_001128933	4721	57	4452	154	30427	4030
NM_002725	450	2	190	41	597	48
NM_007168	482	25	418	29	1760	110
NM_079420	1281	15	2499	12	3505	469
NM_019060	1166	170	4494	334	1499	102
NM_001114086	469	7	274	0	1361	113
NM_001128934	2696	34	2170	76	15941	2017
NM_145791	152	1	494	143	200	5
NM_133477	2742	35	2278	81	15718	1960
NM_201348	447	2	183	40	570	47
NM_138805	343	22	152	11	278	0
NM_003673	3626	47	2499	36	5782	1188
NM_145764	150	1	492	143	192	5
NM_145792	150	1	492	143	192	5
NM_001111283	460	25	343	26	4703	257
NM_000618	460	25	343	26	4691	257
NM_145064	675	8	651	46	3148	293
NM_020844	143	1	237	42	521	42
NM_001018116	282	3	352	19	2015	210
NM_001127699	7900	827	10375	882	4985	107
NM_017933	62	20	58	4	303	17
NM_024557	87	0	129	24	163	13
NM_015225	1396	19	2463	72	18565	2009
NM_001080400	557	7	239	139	1146	30
NM_001098814	824	11	654	38	2097	198
NM_000697	380	318	2860	243	643	5
NM_001449	4230	61	4381	206	17928	1673
NM_033439	701	7	311	84	872	74
NM_003281	2480	36	1859	47	12158	1598
NM_000427	262	1693	79	6	88	1
NM_019105	1655	24	1985	184	5707	317
NM_001647	322	0	273	23	503	76
NM_001127698	10209	923	14029	1225	6474	130
NM_006846	10119	923	13910	1213	6380	127
NM_016929	481	7	283	0	1406	121
NM_001042	250	1	137	13	344	29
NM_001099677	130	1	204	34	491	40
NM_000727	64	0	91	0	338	62
NM_001008539	555	8	550	401	2368	173
NM_001100818	58	20	56	4	268	17
NM_001111284	431	25	303	26	4374	243
NM_152336	122	1	90	0	622	83
NM_006757	1123	60	3973	102	9075	802
NM_001042782	1123	60	3973	102	9068	802
NM_001042781	1123	60	3973	102	9068	802
NM_005691	372	17	317	24	2320	204
NM_003046	547	8	566	392	2377	175
NM_000702	1148	18	1129	46	3323	443
NM_001042780	1114	60	3932	102	8957	798
NM_020298	365	17	313	24	2282	203
NM_178233	119	1	113	62	97	0
NM_001005746	123	1	178	31	100	8
NM_003005	122	1	85	7	676	70
NM_000900	130	0	168	15	611	155
NM_001958	378	23	492	27	2032	181
NM_000726	120	1	178	31	99	8
NM_005963	286	4	1723	16	4336	627
NM_001135196	506	8	355	13	1634	252
NM_001830	136	0	113	10	463	138
NM_024574	145	1	102	9	140	37
NM_144777	3912	263	7393	701	2361	216
NM_080282	276	1	517	50	747	113
NM_031469	881	41	1241	74	1071	98
NM_003843	3895	263	7259	695	2326	215
NM_020379	116	1	105	68	333	30
NM_138569	97	1	116	1	322	38
NM_003012	1309	8	992	100	3116	648
NM_003248	1107	22	2949	301	9704	1799
NM_014031	156	1	465	47	73	7
NM_025170	143	2	223	14	634	106
NM_014476	1891	39	1996	66	10018	1136
NM_173352	3408	166	6158	653	3224	82
NM_001039523	93	1	481	9	1415	136
NM_000079	93	1	481	9	1396	136
NM_003613	515	0	395	42	1018	253
NM_014289	194	0	288	47	263	24
NM_033427	741	5	1074	226	389	36
NM_001458	5275	117	3185	146	36866	3700
NM_001127487	5274	117	3185	146	36836	3697
NM_014951	93	1	531	57	421	218
NM_001148	574	12	578	143	2457	146
NM_000150	306	6	213	46	223	6
NM_007365	976	23	1038	31	5429	522
NM_013999	89	62	121	9	518	49
NM_015687	173	10	230	25	1242	113
NM_001127493	475	10	438	92	2080	116
NM_001003793	172	3	105	9	459	130
NM_000901	171	1	167	18	265	58
NM_005060	172	3	119	69	367	20
NM_006790	769	17	626	4	2205	387
NM_020977	472	10	438	92	2086	114
NM_002825	256	5	504	177	70	2
NM_153236	63	3	87	2	289	27
NM_199168	545	23	685	80	3967	311
NM_152439	128	4	64	0	1094	106
NM_001040002	88	62	122	11	521	50
NM_133265	786	2	551	64	2275	298
NM_012464	127	2	68	3	224	426
NM_001017372	161	1	489	57	79	7
NM_001001523	168	3	118	68	364	21
NM_001003792	166	3	102	9	440	129
NM_001113490	842	1	554	66	2386	312
NM_173833	242	5	181	16	1151	159
NM_002479	201	4	307	10	2715	301
NM_004527	90	62	124	12	528	52
NM_000949	239	5	234	20	129	44
NM_024721	275	1	287	35	690	349
NM_001040701	271	6	209	43	200	6
NM_006639	160	0	63	7	54	17
NM_001122659	114	2	58	10	808	58
NM_032866	843	21	1106	97	909	106
NM_001042723	3067	129	3337	287	20564	2086
NM_000540	3067	129	3337	287	20564	2086
NM_130759	58	2	67	3	294	29
NM_005276	185	5	177	22	258	20
NM_001130861	222	5	84	23	998	76
NM_001364	79	1	92	11	106	16
NM_001097589	41641	1131	48450	7733	30857	45
NM_001135109	75	0	114	20	135	13
NM_001005747	121	1	182	34	95	9
NM_002343	182	4	109	48	488	21
NM_005416	41809	1155	49781	8036	31185	45
NM_001113561	99	1	133	17	152	52
NM_003277	215	5	81	23	983	75
NM_002152	175	16	217	1	806	84
NM_015204	104	2	72	24	460	45
NM_014483	149	2	72	9	339	102
NM_001129907	405	11	903	138	247	3
NM_001135940	598	17	440	3	1652	285
NM_198215	173	1	211	29	339	56
NM_004006	1367	28	1316	186	5731	1026
NM_006210	150	15	2594	367	1223	66
NM_015278	1818	123	2423	342	3316	309
NM_001114107	1302	39	1559	75	8322	887
NM_015086	154	1	100	23	1999	213
NM_003568	124	14	90	12	70	5
NM_000336	170	115	363	51	275	5
NM_001025231	211	16	928	133	442	16
NM_000450	390	10	312	78	2049	219
NM_020478	173	78	247	35	493	51
NM_080284	384	19	366	52	1633	171
NM_019856	1012	32	773	25	2232	243
NM_003803	1016	32	773	25	2238	245
NM_004010	1357	28	1283	186	5657	1010
NM_004009	1357	28	1283	186	5666	1010
NM_000109	1352	28	1282	186	5618	1009
NM_144573	361	11	501	20	2639	546
NM_205853	150	4	373	14	994	187
NM_031426	719	23	1193	229	1173	89
NM_173054	172	13	101	14	535	56
NM_005045	172	13	101	14	535	56
NM_001034957	680	22	416	60	2356	328
NM_001030060	520	3	559	167	335	36
NM_006252	463	15	470	42	2677	314
NM_201631	313	10	201	179	188	15
NM_024991	691	22	429	63	2424	333
NM_007177	196	6	87	45	319	18
NM_001076778	193	6	87	45	319	18
NM_006434	668	22	406	60	2323	321
NM_001076682	187	6	223	4	1677	288
NM_006895	107	3	321	40	342	69
NM_139212	1830	365	3374	510	1711	74
NM_000898	74	26	164	24	172	18
NM_032495	1879	388	3441	524	1763	74
NM_016321	8518	1012	16167	2468	7605	820
NM_139211	1800	357	3322	508	1703	76
NM_012298	195	15	189	9	690	78
NM_004731	337	12	261	168	752	76
NM_020480	162	78	233	35	467	50
NM_004274	879	33	502	142	7795	821
NM_001034954	851	32	504	70	3096	408
NM_004245	283	10	192	160	181	15
NM_001058	115	0	50	7	68	14
NM_004657	213	19	312	48	447	38
NM_001034956	710	28	430	60	2499	344
NM_031948	684	27	416	89	578	29
NM_139345	627	128	526	77	5009	586
NM_139344	632	129	529	81	5061	590
NM_178822	264	10	220	35	724	78
NM_032608	941	107	683	42	4907	575
NM_139349	625	128	526	77	4985	584
NM_139351	609	128	515	75	4606	542
NM_001037339	650	25	112	72	3786	444
NM_000095	303	2	251	94	570	66
NM_001710	239	9	183	442	1458	163
NM_001034955	776	32	469	69	2735	367
NM_080737	166	6	211	33	242	29
NM_004305	624	128	526	77	4917	581
NM_139350	624	128	525	77	4912	581
NM_002600	634	18	106	77	3574	422
NM_001037341	634	18	106	77	3571	422
NM_001037340	634	15	106	79	3560	421
NM_000755	152	24	118	16	605	71
NM_001129896	162	6	214	33	247	29
NM_153703	506	21	325	54	1644	170
NM_203371	109	2	54	8	576	115
NM_001114106	56	1	60	9	105	36
NM_001937	292	12	332	32	1129	151
NM_001080437	788	34	345	159	2753	150
NM_001003818	66	2	71	9	28	82
NM_015385	730	32	436	72	2549	341
NM_004100	65	2	69	10	235	42
NM_172103	65	2	69	10	232	42
NM_002126	520	23	765	479	377	31
NM_024870	299	13	338	26	1008	218
NM_020811	84	3	124	28	546	33
NM_139346	668	142	535	91	5076	603
NM_139347	669	142	535	91	5144	606
NM_005161	201	26	401	68	2798	222
NM_003991	63	2	49	9	541	40
NM_006006	84	6	54	4	805	97
NM_004816	105	4	168	33	250	29
NM_172105	62	2	69	10	245	36
NM_001127608	104	4	168	33	250	29
NM_152487	82	3	172	12	157	39
NM_139348	668	142	534	91	5071	603
NM_005656	123	6	399	44	137	16
NM_207361	211	0	312	1136	1224	150
NM_001795	330	76	322	55	2578	281
NM_001128310	820	39	939	132	2786	628
NM_004684	820	39	938	132	2775	627
NM_001014450	113	67	159	27	586	44
NM_001018011	84	5	54	4	785	97
NM_173648	64	3	73	12	407	27
NM_003042	411	32	123	21	271	22
NM_005159	704	34	1587	22	6425	1120
NM_003480	127	25	188	21	1290	161
NM_198582	146	0	141	141	1152	143
NM_139343	676	143	538	95	5220	612
NM_152369	58	1	55	9	93	34
NM_080826	71	10	120	4	246	30
NM_001003760	253	12	636	33	1751	296
NM_080283	250	7	244	43	918	126
NM_001099772	124	94	110	19	55	3
NM_000779	124	94	110	19	55	3
NM_024582	962	54	623	103	3425	434
NM_000104	463	23	181	194	3262	289
NM_016841	289	14	190	10	557	104
NM_016834	289	14	190	10	558	104
NM_058166	57	2	71	9	28	81
NM_003734	161	20	186	33	1075	73
NM_000092	85	38	153	13	750	96
NM_017549	74	23	157	17	505	64
NM_006209	97	4	195	35	866	163
NM_000064	2587	136	1731	512	10722	1380
NM_006194	1434	60	1472	470	1174	150
NM_003243	703	63	735	134	1436	75
NM_144994	3341	177	1398	132	5677	1293
NM_022159	244	12	198	31	911	179
NM_001040272	55	2	88	19	367	33
NM_198827	157	8	129	23	629	50
NM_001130863	92	4	193	35	865	160
NM_020778	962	32	678	142	7739	1000
NM_001819	87	13	90	16	3175	242
NM_022307	54	0	73	13	123	28
NM_000186	1082	30	916	175	2546	608
NM_003245	25839	1503	23212	4477	12766	64
NM_198578	610	25	658	126	1592	277
NM_001040092	90	4	193	35	865	160
NM_021110	1536	96	1684	329	6828	621
NM_014880	231	11	197	38	652	143
NM_000777	194	5	568	111	67	22
NM_006614	748	154	1096	217	619	10
NM_001423	12389	2293	22143	1927	16890	2250
NM_016835	314	17	209	12	622	118
NM_001123066	314	17	209	12	622	118
NM_012446	142	5	211	42	321	108
NM_002477	71	0	136	27	121	63
NM_199511	1291	102	1190	244	10637	938
NM_002206	860	136	924	166	6722	911
NM_014033	716	144	1005	142	1337	181
NM_139125	57	1	54	25	683	92
NM_199512	1143	91	1006	208	9628	809
NR_003062	161	41	192	39	204	5
NM_032961	67	3	66	25	69	0
NM_000423	87	32	89	4	79	10
NM_001131005	1113	65	2206	87	6772	1279
NM_145728	1236	74	776	100	4754	864
NM_020433	411	24	185	38	1807	286
NM_144632	184	36	289	61	652	88
NM_000722	278	16	386	179	1293	160
NM_001080952	397	22	867	185	1064	184
NM_021219	85	8	82	4	243	33
NM_012317	81	4	74	65	106	8
NM_001126132	1538	94	1825	226	4433	772
NM_001126133	1538	94	1814	226	4428	771
NM_015286	1220	74	758	97	4556	822
NM_001123067	291	17	195	10	572	111
NM_005910	291	17	195	10	572	112
NM_001080953	395	22	833	179	1040	183
NM_006718	397	22	866	185	1057	184
NM_014644	3363	207	2620	401	14733	2622
NM_003283	1538	96	1828	226	4437	774
NR_003221	152	50	1394	302	1733	208
NM_001040114	428	32	468	49	1271	180
NM_001040113	428	32	468	49	1272	180
NM_002474	428	32	468	49	1271	180
NM_022844	428	32	468	49	1272	180
NM_001400	250	23	176	25	1175	166
NM_004012	704	26	768	168	3106	643
NM_004011	704	26	768	168	3106	643
NM_001963	245	1	104	22	398	66
NM_000961	187	11	136	34	3314	121
NM_022664	2710	175	6945	1172	2251	527
NM_006274	196	3	35	49	271	38
NM_021111	134	5	132	31	646	92
NM_019000	145	12	277	61	1593	186
NM_001080954	392	22	831	184	1040	183
NM_001080951	391	21	854	189	1049	183
NM_017650	99	13	85	3	275	39
NM_015198	301	19	232	79	411	43
NM_001100829	98	13	150	33	655	79
NM_005358	1700	344	2412	545	5503	634
NM_153225	82	1	150	33	74	24
NM_014945	350	27	482	90	1676	243
NM_005069	754	33	717	162	341	167
NM_153267	147	9	987	73	511	119
NR_022011	125	4	1464	331	572	249
NM_022783	269	2	477	108	598	104
NM_004363	695	46	283	129	441	7
NM_001128209	455	30	647	36	4481	748
NR_001293	58	3	1408	288	381	178
NM_001013661	397	26	128	87	468	18
NM_002397	1110	75	2196	91	6797	1303
NM_182799	70	33	63	9	357	52
NM_017655	73	3	80	24	107	15
NM_016563	121	25	98	22	578	56
NM_018400	59	3	68	15	280	49
NM_001040151	59	3	68	15	273	48
NM_001135823	302	20	382	67	802	597
NM_138711	71	4	113	32	208	2
NM_001085049	195	28	233	42	1631	242
NM_012219	197	27	232	45	1644	244
NM_020427	817	56	317	110	863	10
NM_000337	455	31	657	37	4499	752
NM_139165	184	12	143	30	142	22
NM_015642	214	10	211	49	789	236
NM_020247	712	105	539	126	2487	334
NM_020802	66	2	88	20	192	72
NM_001033723	221	11	220	51	394	273
NM_001002812	1997	140	1480	317	8175	1731
NM_012193	596	68	466	110	3285	462
NM_003102	265	18	132	232	796	73
NM_138712	69	4	111	32	199	2
NM_000163	100	5	108	25	138	91
NM_001093	628	14	447	172	2228	338
NM_006287	250	46	215	47	1025	155
NM_033512	138	4	95	22	478	106
NM_024636	652	18	370	88	2775	1321
NM_130393	69	2	80	1335	404	61
NM_001040712	69	2	80	1335	404	61
NM_004425	3001	219	7278	1413	2513	637
NM_006682	432	31	521	76	1018	294
NM_032279	445	69	456	111	463	1
NM_002656	299	20	698	170	825	145
NM_005086	323	23	415	71	826	629
NM_020911	122	5	91	47	632	97
NM_001025109	576	122	589	67	2294	356
NM_002475	257	40	348	43	1237	191
NM_015869	66	4	110	32	196	2
NM_054111	198	14	86	24	1589	131
NM_015184	132	9	134	52	739	93
NM_016260	1246	93	1629	348	1562	600
NM_152263	2144	162	1574	268	3054	787
NM_001080956	297	20	664	164	801	144
NM_000700	34397	2605	46239	9950	26307	9141
NM_021196	42	62	59	14	74	10
NM_178034	269	194	186	46	626	96
NM_001080955	291	19	653	163	800	142
NM_015981	221	16	219	20	499	175
NM_152795	51	3	102	716	167	6
NM_152794	51	3	102	716	167	6
NM_022462	51	3	102	717	168	6
NM_005037	64	4	104	32	187	2
NM_001010846	157	25	102	25	927	82
NM_198148	318	44	193	48	1218	177
NR_003216	321	145	2745	593	1932	301
NM_024913	160	0	153	164	563	88
NM_001773	585	122	598	67	2343	367
NM_001290	71	18	110	14	361	56
NM_139247	230	48	172	43	1247	191
NM_013358	712	1	1618	411	587	102
NM_199160	61	5	50	12	365	32
NM_014368	61	5	50	12	368	32
NM_171825	219	16	219	20	499	175
NM_001079526	1239	95	1609	364	1530	595
NM_002989	179	13	72	18	1779	112
NM_144670	11731	912	13308	3071	6944	1160
NM_001014975	649	27	506	130	1293	370
NM_003943	187	5	221	56	654	233
NM_000906	103	18	61	15	548	32
NM_203339	1361	106	761	529	4775	239
NM_001831	1358	106	764	530	4799	239
NM_001136037	88	44	108	27	552	81
NM_001080425	91	4	100	25	111	51
NM_178033	76	4	135	34	91	29
NM_001040666	163	7	66	180	797	126
NM_001013627	116	17	115	29	567	88
NM_198485	219	116	261	67	237	35
NM_000014	2242	261	2285	597	15121	1991
NM_182798	98	51	80	9	440	70
NM_181804	110	7	91	43	794	127
NM_006561	332	26	477	272	2296	363
NM_001083591	330	26	480	260	2298	353
NM_001025076	330	26	480	263	2285	356
NM_002599	194	19	146	38	1047	123
NM_032103	246	10	206	54	652	118
NM_001085437	1180	96	616	192	936	99
NM_001130834	73	18	115	14	382	61
NM_015621	340	134	315	83	1635	239
NM_017508	158	0	221	58	203	179
NM_033326	155	0	227	60	207	179
NM_139284	70	5	63	19	165	10
NM_020809	187	15	380	74	234	61
NM_024861	912	77	477	130	683	85
NM_006472	8366	717	3270	955	16350	2021
NM_001127688	84	4	96	25	106	50
NM_014935	240	20	237	38	303	56
NM_138961	205	62	290	54	1207	197
NM_016952	156	14	536	84	511	83
NM_014936	96	1	99	26	347	73
NM_005012	100	7	132	35	164	44
NM_006095	212	32	402	86	1127	186
NM_030569	169	62	272	64	915	150
NM_000587	181	15	71	14	200	33
NM_175060	105	85	167	45	522	63
NM_002942	154	13	423	102	129	134
NM_001040665	409	36	160	419	1932	311
NM_198149	95	49	75	20	757	94
NM_052970	57	29	115	31	1032	120
NM_001025077	384	28	523	295	2531	419
NM_001010923	52	2	62	25	83	13
NM_001034850	140	12	254	70	1473	173
NM_001105529	215	32	404	86	1117	186
NM_000681	150	13	236	144	407	37
NM_001134656	183	16	229	36	355	95
NM_002101	85	7	103	43	439	42
NM_020139	60	1	124	34	202	132
NM_019035	319	29	374	60	915	228
NM_001100397	69	0	91	25	127	97
NM_015351	730	68	1048	354	1251	142
NM_031935	1132	106	1529	278	5463	1996
NM_030913	261	74	242	48	1646	277
NM_024007	180	80	251	71	972	134
NM_207362	94	6	219	62	221	67
NM_207404	177	16	225	36	343	95
NM_005213	2066	196	3892	707	1418	537
NM_033254	827	42	1261	359	832	194
NM_022823	56	3	125	35	145	39
NM_000665	153	34	170	12	559	94
NM_173842	5259	2044	11257	3225	4525	769
NM_016815	82	7	94	42	418	41
NM_006988	2996	545	1094	316	3530	582
NM_001003819	68	2	143	41	183	163
NM_005630	402	84	451	118	1938	331
NM_152542	183	17	146	42	464	208
NM_182765	131	12	277	56	742	381
NM_017831	60	5	123	112	320	54
NM_000459	140	13	95	14	807	138
NM_000873	59	3	65	29	376	64
NM_000158	538	38	737	626	2304	395
NM_152999	423	41	156	428	2017	317
NM_018647	130	12	332	83	155	132
NM_001463	79	7	277	15	130	30
NM_009586	564	30	501	147	271	125
NM_173681	817	81	1186	389	876	36
NM_002585	1009	100	874	137	1686	429
NM_005767	551	49	732	215	612	344
NM_052862	150	32	255	47	785	135
NM_006169	1137	114	576	200	7580	744
NM_005822	312	31	222	21	628	199
NM_004033	616	229	604	178	3783	612
NM_001155	616	229	604	178	3783	612
NM_000129	634	116	795	234	7791	743
NM_198471	70	18	70	20	566	40
NR_002196	6340	3684	11630	2646	31674	5512
NM_001003679	610	131	227	49	1509	263
NM_024767	106	10	126	33	391	73
NR_003317	152	15	1186	337	563	154
NM_002404	391	40	307	97	1625	229
NM_015678	152	15	187	47	535	104
NM_003944	258	26	229	105	637	103
NM_000609	448	46	502	156	5797	505
NM_007038	129	35	93	27	1289	102
NM_003793	138	110	123	36	587	100
NM_016315	96	6	153	45	173	37
NM_002303	390	85	142	42	997	175
NM_006206	1354	144	529	185	6963	889
NM_000091	205	29	237	39	748	132
NM_015831	157	39	171	18	565	99
NM_017662	70	2	60	112	247	43
NM_001083592	64	6	98	22	99	37
NM_032587	292	11	384	115	749	895
NM_002615	653	70	515	921	6852	744
NM_020972	155	16	125	103	415	67
NM_002006	103	16	101	30	534	85
NM_007023	67	1	91	27	123	119
NR_003201	20	69	1234	199	1496	266
NM_001099788	64	6	65	30	374	66
NM_001099789	63	6	65	30	374	66
NM_001136020	54	5	85	13	104	18
NM_004968	54	5	85	13	125	28
NM_003265	82	0	74	22	72	103
NM_001013642	281	26	175	53	123	129
NM_130386	92	69	180	55	1013	139
NM_018667	140	204	90	27	73	12
NM_057177	152	15	164	50	220	71
NM_018487	90	0	102	126	935	167
NM_015568	202	22	117	69	965	173
NM_033111	307	34	496	130	667	306
NM_002483	490	55	217	174	444	59
NM_020859	822	94	502	150	498	206
NM_020962	149	54	194	60	1098	160
NM_003494	550	179	576	180	8779	928
NM_001130978	550	179	576	180	8785	933
NM_033071	2355	225	1825	572	7967	1801
NM_032563	325	336	3249	115	1181	213
NM_001003680	384	85	142	42	958	172
NM_001099787	63	6	65	30	376	67
NM_001099786	64	6	65	30	376	67
NM_000633	271	28	145	87	415	74
NM_020796	231	26	241	104	762	118
NM_139057	110	12	135	86	788	53
NR_003321	66	5	600	188	243	67
NM_001130976	550	179	574	180	8756	926
NM_001130977	550	179	574	180	8763	931
NM_001130984	544	179	544	171	8649	914
NM_001130986	544	179	544	171	8642	909
NM_001130983	544	179	546	171	8671	916
NM_001130455	544	179	546	171	8664	911
NM_001093772	116	12	148	46	403	104
NM_000222	116	12	148	46	403	104
NM_019598	422	63	367	115	667	21
NM_020469	142	39	94	29	169	14
NM_002207	133	15	112	25	623	116
NM_182920	782	93	251	83	4211	347
NM_199329	585	69	457	480	2153	291
NM_031362	201	29	233	39	725	131
NM_001098516	279	44	119	34	202	36
NM_001001851	76	29	151	30	434	78
NM_000132	173	20	104	51	664	97
NM_003289	1984	240	4388	399	11103	8878
NM_004165	1021	123	324	227	8622	628
NM_006344	75	13	138	43	259	24
NM_002481	2130	259	1633	446	5732	1364
NM_020647	318	38	220	298	950	157
NM_145693	981	304	2239	507	1978	362
NM_177458	323	39	146	164	247	18
NM_001130979	551	179	577	184	8796	928
NM_001164	101	50	99	31	522	65
NM_017637	518	28	387	123	2480	492
NM_052972	257	20	62	74	308	56
NM_001128850	1024	126	325	227	8634	630
NM_182909	369	45	377	99	817	409
NM_181805	112	13	95	43	821	135
NM_002223	1684	208	3793	771	3257	1394
NM_015553	104	12	154	37	139	41
NM_001130700	104	12	154	37	139	43
NM_001130980	551	179	575	184	8774	926
NM_001130981	551	179	575	184	8781	931
NM_001130985	545	179	545	175	8660	909
NM_001130987	545	179	545	175	8667	914
NM_001130982	545	179	547	175	8682	911
NM_205863	136	13	170	54	225	76
NM_031365	198	29	223	39	703	130
NM_001080512	152	17	116	37	1120	208
NM_133478	52	69	80	16	96	17
NM_002982	353	7	317	145	333	61
NM_054110	143	17	67	33	2004	214
NM_001042459	376	46	393	118	906	446
NM_022131	125	15	87	27	361	181
NM_198098	1777	227	944	220	4317	846
NM_176819	287	36	204	79	1578	236
NM_001130083	489	62	197	143	2454	409
NM_014960	100	12	201	133	196	34
NM_145689	99	50	98	31	522	64
NM_182961	2372	225	1839	595	8040	1821
NM_012072	1587	356	909	293	10356	1148
NM_032817	136	40	178	57	675	105
NM_004820	271	32	343	110	603	417
NR_003219	362	74	1728	444	1576	295
NM_171997	200	25	210	24	633	133
NM_001130084	470	60	194	142	2365	397
NM_031366	198	29	221	39	696	130
NM_000552	2874	718	2560	823	11508	2168
NM_153840	64	8	137	32	78	14
